playerID,name,rating,gamesWon,gamesPlayed,winPercentage
2386,"charge0609",970,1,3,25
544,"Vent Goblin",970,4,10,36
2133,"AquaIsUseless",970,1,3,25
901,"Deadby",970,1,3,25
465,"Angler",970,3,7,38
567,"LaPepega",969,1,3,25
2330,"NoWay",968,3,9,30
284,"Kaisar",967,1,3,25
1627,"AntiG.O.A.T",967,4,9,40
360,"Coltrain",966,2,5,33
532,"TrolliPop",966,3,8,33
2232,"Arum95099",966,1,3,25
2262,"WynExplode",966,1,3,25
1700,"sept",966,4,9,40
1338,"CloakNDagger",965,1,3,25
665,"Xiro",965,2,6,29
186,"Tayto",965,5,12,38
2557,"Zaglik",965,0,1,0
1011,"Jarasonic",965,1,3,25
2409,"Dagcha",965,1,3,25
587,"Phimmy",965,0,1,0
180,"The Running Crown Flame",965,2,5,33
2235,"Jeremy",965,3,7,38
2561,"Beeswick",964,0,1,0
1178,"Puffs",963,3,7,38
1617,"Ralex",963,3,7,38
581,"Sheleil",963,1,3,25
1018,"Axnon",962,1,3,25
932,"Epsilon",962,1,3,25
2253,"Cattosmcgoe",962,0,1,0
743,"Reaxt",962,4,10,36
1096,"krrkrkrkrkrkrkrrrr",961,1,3,25
2191,"AirF1Air",960,1,3,25
2132,"JollyKnight",960,1,3,25
2399,"Sacred",959,0,1,0
2013,"Utter Bastard",959,3,7,38
2543,"shaxerd",959,2,6,29
1309,"IcarusCursed",959,2,5,33
2228,"Misteater",957,1,3,25
1614,"RiskyJab",957,1,3,25
506,"Jack556",956,1,3,25
2075,"Comprenale",956,6,15,38
2207,"Xemshine",956,32,83,38
1369,"Deadly",956,1,3,25
2271,"Graknight",956,2,4,40
1403,"Arcalis",956,22,34,63
1847,"OrpleZzzeY",956,3,7,38
260,"Izuna",955,0,1,0
704,"Sp1cd",955,1,3,25
2428,"JeweyDecimals",954,1,3,25
2134,"Azer",954,1,3,25
329,"æth",954,1,3,25
2371,"J.A.Y.",953,1,3,25
2149,"Hath",953,1,3,25
531,"Luc",953,1,3,25
1943,"Prisma",953,4,9,40
379,"MuffinButton",953,2,5,33
1899,"Fertsa",951,6,13,43
382,"KURAMA",951,1,3,25
1162,"Dragon",950,3,7,38
1960,"Savant",950,4,10,36
1654,"Gargantruant",950,1,3,25
1358,"egorKa",949,4,9,40
2318,"TwoTimesJ",949,6,27,21
1069,"Cyndaquil3",949,3,7,38
1392,"DNZL",948,4,9,40
